player,total_sca,direct_sca,secondary_sca,direct_pass_sca,direct_balltouch_sca,direct_foul_sca,direct_takeon_sca,direct_cornerawarded_sca,direct_savedshot_sca,direct_shotonpost_sca,direct_goodskill_sca,secondary_pass_sca,secondary_balltouch_sca,secondary_foul_sca,secondary_takeon_sca,secondary_cornerawarded_sca,secondary_savedshot_sca,secondary_shotonpost_sca,secondary_goodskill_sca
Armando Broja,10,8,2,4,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0
Arnaud Kalimuendo,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Arthur Masuaku,3,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Axel Disasi,3,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Axel Tuanzebe,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Ayden Heaven,4,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bafodé Diakité,7,3,4,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Bart Verbruggen,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bashir Humphreys,22,7,15,6,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0
Ben Davies,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Gannon-Doak,3,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Ben White,18,7,11,6,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0
Bendito Mantato,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin Sesko,23,13,10,9,0,0,3,0,0,1,0,10,0,0,0,0,0,0,0
Benoît Badiashile,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bernardo Silva,93,46,47,43,0,0,3,0,0,0,0,41,0,0,0,6,0,0,0
Bernd Leno,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bertrand Traoré,12,9,3,7,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0
Beto,20,13,7,6,6,0,1,0,0,0,0,5,0,2,0,0,0,0,0
Borna Sosa,3,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Boubacar Kamara,26,14,12,14,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0
Brajan Gruda,34,23,11,15,0,3,5,0,0,0,0,10,0,1,0,0,0,0,0
Brenden Aaronson,57,38,19,28,5,2,3,0,0,0,0,11,3,2,0,3,0,0,0
Brennan Johnson,33,20,13,19,0,0,1,0,0,0,0,9,1,0,0,3,0,0,0
Brian Brobbey,29,16,13,11,3,2,0,0,0,0,0,10,2,0,0,1,0,0,0
Bruno Fernandes,201,129,72,125,0,1,2,0,0,1,0,69,0,0,0,2,1,0,0
Bruno Guimarães,79,48,31,43,1,2,0,1,0,1,0,28,1,1,0,1,0,0,0
Bryan Mbeumo,83,50,33,46,1,1,2,0,0,0,0,27,1,1,0,4,0,0,0
Bukayo Saka,93,62,31,57,0,2,2,1,0,0,0,28,0,2,1,0,0,0,0
Callum Hudson-Odoi,74,46,28,42,0,1,3,0,0,0,0,25,0,0,0,3,0,0,0
Callum Wilson,21,11,10,5,1,0,5,0,0,0,0,6,1,0,0,3,0,0,0
Calvin Bassey,18,9,9,7,1,0,1,0,0,0,0,8,0,0,0,0,1,0,0
Caoimhín Kelleher,5,1,4,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Carlos Baleba,17,10,7,8,0,2,0,0,0,0,0,6,0,0,0,1,0,0,0
Casemiro,62,35,27,33,2,0,0,0,0,0,0,23,0,1,0,2,1,0,0
Chadi Riad,4,1,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
